APP ID,Date Announced,CIA_Name,Grant Type,Sub Type,Grant Title,Admin Institution,State,Sector,Start Yr,End Yr,Total,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,Plain Description,
1094974,07-Aug-15,Dr Amy Brodtmann,Targeted Calls for Research,Boosting Dementia Research Initiative – Team Grants,Vascular mechanisms of neurodegeneration: drivers and determinants of dementia,University of Melbourne,VIC,University,2015,2019,"$6,421,722",Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,cognition,vascular dementia,stroke,dementia,neurodegeneration,"The evidence is compelling: vascular burden is the greatest determinant of late life cognition. The volume of evidence linking vascular risk and dementia is conclusive. All late-onset dementia syndromes, especially Alzheimer’s disease, are driven or exacerbated by vascular brain burden. We aim to examine how vascular burden causes dementia. Understanding the mechanisms means that we can prevent and treat the global epidemic of dementia.",.
1095078,07-Aug-15,Prof Robert Sanson-Fisher,Targeted Calls for Research,Boosting Dementia Research Initiative – Team Grants,An Australian Community Of practice in Research in Dementia (ACcORD) to improve health outcomes for people with dementia and their carers,University of Newcastle,NSW,University,2015,2019,"$3,382,819",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,intervention,measurement,legal issues,capacity building,multidisciplinary,The ACcORD project brings together a multidisciplinary team to improve health and quality of life of people with dementia and their carers. A program of research driven by end users will be conducted across four key themes: 1) Development of measures for assessing unmet needs; 2) Exploring barriers to service delivery; 3) Medico-legal and financial impediments to providing care; and 4) Testing innovative strategies to improve health outcomes for people with dementia and their carers.,.
1095097,07-Aug-15,Prof Henry Brodaty,Targeted Calls for Research,Boosting Dementia Research Initiative – Team Grants,Maintain Your Brain,University of New South Wales,NSW,University,2015,2019,"$6,467,016",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Health Promotion,dementia,Alzheimer disease,prevention,population,healthy ageing,N/A,.
1095127,07-Aug-15,Prof Glenda Halliday,Targeted Calls for Research,Boosting Dementia Research Initiative – Team Grants,"Non-Alzheimer’s disease degenerative dementias: Identifying prodromal genetic/familial phenotypes, modifying factors, and protein variations involved in progression",University of New South Wales,NSW,University,2015,2019,"$6,449,246",Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,frontotemporal dementia,dementia with Lewy bodies,genetic predisposition,early diagnosis,progression,"This proposal will generate new knowledge necessary for advancing the diagnosis of the non-Alzheimer’s disease dementias. We will identify the preclinical forms of frontotemporal dementia and Lewy body dementia using similar methods to those successfully employed to advance diagnosis of Alzheimer’s disease. Importantly, our team has the capacity to translate these protocols into clinical practice and into further advances in biological knowledge that is necessary for future therapeutic targeting",.
1095215,07-Aug-15,A/Pr Ian Blair,Targeted Calls for Research,Boosting Dementia Research Initiative – Team Grants,Developing insight into the molecular origins of familial and sporadic frontotemporal dementia and amyotrophic lateral sclerosis,Macquarie University,NSW,University,2015,2019,"$6,377,279",Basic Science,NEUROSCIENCES,Cellular Nervous System,neurodegeneration,motor neuron disease (MND),frontotemporal dementia,neurochemistry,neurogenetics,"There is strong evidence that frontotemporal dementia (FTD) and amyotrophic lateral sclerosis (ALS) represent a spectrum of neurodegenerative disease with common origins. A combined study of FTD/ALS patient cohorts will provide greater power to identify these shared molecular origins. We aim to discover gene variants that cause, predispose, or modify onset and progression of inherited and sporadic FTD/ALS, and validate and study our discoveries in new cell and animal models of these disorders.",.
1095227,07-Aug-15,Prof Michael Breakspear,Targeted Calls for Research,Boosting Dementia Research Initiative – Team Grants,"Prospective Imaging Study of Ageing: Genes, Brain & Behaviour",Queensland Institute of Medical Research,QLD,Research,2015,2019,"$6,465,047",Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),Alzheimer disease,ageing,neuroimaging,lifestyle factors,genetics,"While the burden of dementia in Australia occurs late in life, the underlying brain disease accumulates for decades prior to dementia onset. Disease modifying interventions have the greatest potential to avert later disease burden if introduced during this crucial window, well before the onset of clear cognitive decline. To reduce Australia's future dementia burden, it is thus imperative to identify those Australians at risk of dementia whilst they are still relatively young.",.
1092968,21-Aug-15,A/Pr Louise Maple-Brown,International Collaborations,GACD - Prevention and treatment of Type 2 Diabetes,Improving the management of Diabetes in Pregnancy in Remote Australia,Menzies School of Health Research,NT,Research,2015,2019,"$2,117,449",Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,Aboriginal health,diabetes,gestational diabetes,maternal and child health,health systems,"This study aims to optimise the management of diabetes in pregnancy (both gestational diabetes and pre-existing type 2 diabetes) and post-partum follow-up of these high risk women in order to reduce the risk of future chronic disease among women and their children. The proposal involves scale-up of successful initiatives that we have developed as part of the NT DIP Partnership, scale-up within the Northern Territory (NT) and to Far North Queensland (FNQ).",.
1093171,21-Aug-15,Prof Anushka Patel,International Collaborations,GACD - Prevention and treatment of Type 2 Diabetes,A lifestyle intervention program for the prevention of type 2 diabetes mellitus among South Asian women with gestational diabetes mellitus,The George Institute for International Health,NSW,Research,2015,2019,"$1,256,499",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,diabetes prevention,gestational diabetes,behavioural intervention,clinical trial,health services research,"Gestational diabetes mellitus (GDM) is common in South Asian women, and many develop lifelong type 2 diabetes (T2DM) soon after delivery. Lifestyle change helps prevent T2DM, but we do not know how to introduce a sustainable service that will change lifestyles of young, busy and often poor women. We will test a unique intervention embedded within local health systems in 1414 women with GDM from 24 hospitals in South Asia, hoping to show that this intervention will prevent T2DM.",.
1094712,21-Aug-15,A/Pr David Peiris,International Collaborations,GACD - Prevention and treatment of Type 2 Diabetes,"Systematic Medical Assessment, Referral and Treatment for Diabetes care in China using Lay Family Health Promoters - SMART Diabetes",The George Institute for International Health,NSW,Research,2015,2018,"$1,385,858",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,diabetes,quality of care,electronic health information,self-management,family support,"Type 2 Diabetes (T2DM) affects 113.9 million people in China. Prevalence has risen dramatically  to over 10% and is expected to continue rising. Few Chinese with T2DM are achieving adequate management targets to prevent complications and the current health system infrastructure is struggling to meet these gaps in care. Our project will expand the family health promoter model to develop a scalable model for low cost, high quality diabetes care in urban and rural China.",.
1099372,03-Sep-15,Prof Colin Pouton,International Collaborations,CIRM - Tools and Technologies Stem Cells Research,Optimizing the differentiation and expansion of microglial progenitors from human pluripotent stem cells for the study and treatment of neurological disease,Monash University,VIC,University,2015,2017,"$902,949",Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Pharmaceutical Sciences,,,,,,"Microglial cells play important roles in the development and function of the brain. They also profoundly  influence  the  development  and  progression  of  many  of  the  most  common neurological disorders including Alzheimer’s disease, stroke, neoplasms, Parkinson’s disease, traumatic brain injury, schizophrenia, and autism. The project will use stem cell technology to produce human microglia, which will allow us and others to study the role of human microglial in neurological disease.",.
